text;re_labelled
@thorxxrahman Enggeh leres masuk kec.Ngaglik, mungkin rodo ngantuk kui sik gawe berita;HAM
Personil Polres mukomuko melaksanakan Sosialisasi kepada masyarakat agar tetap waspada dan mengingatkan agat mencabut kunci kendaraan di saat memarkir kendaran di pinggir jalan dan melaporkan apabila ada kejahatan jalanan lainnya https://t.co/oP3i2i95LG;HAM
ga enaknya rumah pinggir jalan besar + ada bayi tuh ya motor blombongan wira wiri gatau diri huhhh;HAM
@KangManto123 Berarti pengusaha knalpot brong juga berhak utk berjualan bahu-membahu dgn pengusaha sound horeg ya?;HAM
@zeynixxtflhn Beli knalpot blombongan ga?;HAM
"5 Top Stories! Wagub Krisantus Prihatin, Truk Tangki BBM Terbalik, Tangkap Jambret Pontianak Timur
 
https://t.co/gAGSSRuVxh lewat @tribunnews";HAM
"09.39: Terjadi kecelakaan truk box di Tol Kunciran Serpong KM 21, dalam penanganan petugas lalu lintas terpantau padat. (P. Hadi) 
#InfoLalinElshinta https://t.co/LTOxHah348";HAM
Mari berkontribusi terhadap gerakan rakyat dengan membeli baju ini seharga Rp 160.000. Berikut format pemesanannya:  Nama: Alamat: Nomor WA: Ukuran:  Hubungi kami melalui WA 08977472296  *Harga di atas di luar ongkos kirim*;SPAM
Almarhum dimakamkan Minggu, 25 Mei 2025 pukul 17:00 WIB di Sangonan, Sidorejo, Godean, Sleman????;HAM
Masuk terlalu pagi juga bikin keadaan dirumah ricuh, semua harus dilakukan dengan cepat tau2 kecelakaan (riil terjadi oleh w), apalagi yg jarak rumah ke sekolah seperti mendaki gunung melewati sungai dan terbang ke langit harus berangkat lebih pagi itu??;HAM
"""NANTI AJA"" adalah ucapan selamat hari HAM dari seorang mentri bidang HUKUM HAM!";HAM
Ning jero remuk koe lekk..?? https://t.co/Psm6LX7cCQ;HAM
@ajusttinna Balsem sak awak;HAM
Kegiatan personil Polsek Binjai Timur melaksanakan Patroli roda empat malam hari di titik dianggap rawan terjadinya tindak pidana 3C dan kejahatan jalanan lainnya dalam rangka antisipasi gangguan kamtibmas. https://t.co/mIjzaR9Uiz;HAM
Gimana nih rencana aksi di tanggal 1 Mei? Coba share dong info aksi di kota kalian #MeiMelawan;HAM
Sudahi romantisme reformasimu, Mari kita turun ke jalan! #MEILAWAN https://t.co/ryLbf1QvOH;HAM
@KAI121 Naik bareng berlima dari Jember turun di Surabaya sekalian transit berkunjung ke kediaman teman1 Surabaya, berempat lanjut naik KA ekonomi menuju Jogja terus jalan di Malioboro, teman3 lanjut naik KA ekonomi ke Jakarta, sedangkan saya kembali ke Klaten KA sapu jagat dari Jakarta;HAM
"Sewa Rumah Dekat UNY Yogya Malioboro 15mnt Plembura Harian Bulanan Mingguan Rmahan Luas 2KT Keluarga 300rb 1 rumah 2 KT 2 KM

WA https://t.co/Gs4wck2Euz
.
#penginapandekatUNY,  #homestaykeluargajogja,  #homestayrombonganjogja, #homestayjogjamurah, #homestayjogja https://t.co/ckEwDfGnRk";SPAM
"Penggunaan knalpot brong sangat menggangu ketertiban umum.

Jadilah pelopor keselamatan berlalulintas. Taati peraturan yang berlaku

#stopknalpotbrong https://t.co/AlqbV50n4W";HAM
Udan ning yojo kadang mung fana https://t.co/XnEUkg4Ehu;HAM
Jumat, 18 Juli 2025, Samapta Polsek Ngaglik melaksanakan patroli sambang warga Mudal jalan palagan sariharjo sekaligus menyampaikan pesan kamtibmas, tertib berlalu lintas serta antisipasi gangguan Kamtibmas, Curat, Curas, Curan dan kejahatan jalanan di wilayah Ngaglik. https://t.co/qfHXpPH4Nz;HAM
Selamat 13 tahun @CAPITALE_1976 !?? https://t.co/qCj3dgQHZw;HAM
"terjadinya curat, curas dan curanmor serta kejahatan jalanan. Kamis, 17/07/2025.

POLRI UNTUK MASYARAKAT

@poldajogja
#PoldaDIY #KapoldaDIY #Kapolrestasleman #polrestasleman #polsekprambanandiy #patroliKRYD #patrolijogja #jogjaaman #jogjadamai #jogjanyaman #OpsPatuhProgo2025";HAM
Polsek Kedamean Laksanakan Patroli Dialogis, Wujudkan Keamanan dan Kedekatan dengan Masyarakat, antisipasi gesekan antar perguruan silat dan kejahatan jalanan (17/07/2025) #polriuntukmasyarakat https://t.co/uMLN3kyfmV;HAM
@TaniHitam Omelin bang;HAM
@merapi_uncover Mben esuk neng sepanjang jl mangkubumi ro jl malioboro do akwh tukang foto dadakan, le di foto cewek2 sek do lari2 pagi, lha nrk wong lanang ra tau di foto ??;HAM
@merapi_uncover Saya juga heran, dgn fenomena ini, banyak sekali di Jl MargoUtomo sampai Malioboro, dulu hanya lesehan, pakai dingklik, sekarang saking effortnya sampai pakai tangga segala.;HAM
"ini pasti kluargany sadewa ada yg tabrak lari
atau ga sisadewany yg nabrak??";HAM
09.41: Info awal #kecelakaan di depan Pasar Jalan Jagir Wonokromo arah Panjang Jiwo. Belum diketahui kendaraan apa saja yang terlibat. Bambang pendengar SS mengabarkan, ada korban laki-laki tergeletak dan sudah dibantu dipinggirkan oleh warga sekitar. Petugas medis sedang perjalanan menuju lokasi. Data lengkap belum diketahui. (ss-rn);HAM
Ealahh,sekolah saiki iso ngene yo ?? https://t.co/Jarw9BvTZo;HAM
Adapun pelanggaran yang ditindak antara lain kendaraan tanpa plat nomor, kendaraan yang tidak sesuai standar pabrikan, serta penggunaan knalpot brong yang mengganggu kenyamanan dan ketenangan masyarakat.;HAM
"Sekolah ora keduman PIP
Neng ngomah ora keduman PKH
Kerjo ora keduman BSU

Opo rupaku iki rupa rupa wong sugeh";HAM
Kami menuntut agar orang-orang yang tidak berkompeten segera hengkang dari tubuh PSS. Banyak hal yang sudah dilakukan, namun tak ada sedikit pun niat baik dari manajemen yang muncul terutama di media sosial. Apa yang salah?;HAM
"PERSONIL POLSEK KOTA PINANG POLRES LABUHANBATU SELATAN MELAKSANAKAN KRYD DAN PATROLI BLUE LIGHT ANTISIPASI GENG MOTOR, BALAP LIAR, BEGAL, KEJAHATAN JALANAN &amp; ANTISIPASI TP 3C.

#poldasumut
#divisihumaspolri
#patroli
#semuaorang
#sorotan https://t.co/M5bk0KKBPH";HAM
@paksiraras @fajarnugros @AdjieSanPutro @PatubMbel aku wis nyiapke motor blombongan;HAM
Ini sama kek jamet konvoi motor pake knalpot blombongan, tp telinganya disumpel kapas. Dia ga ngerasain, tp org sekitarnya telinganya pekak. Curang. Urik. Coba itu pak pulisi mripatnya disuguhi lampu biru kelap kelip 10 menit aja, gringgingen gak itu matanya.;HAM
Abangnya temen gua kena tabrak lari di daerah Grogol, hp sama dompet hilang dirampas entah sama siapa yang malam itu nolongin, ambulance pun harus adiknya yang nelepon. Mangkanya respect bngt sama warga yang aware soal ginian, ga bikin orang yg sudah jatuh tertimpa tangga.;HAM
Wooooalah https://t.co/WJeG4hAcOn;HAM
"Wujudkan Kenyamanan Pengunjung, Polsek Gedongtengen Sapa Malioboro Yogyakarta. Jumat 18/07/2025 pagi
                    https://t.co/AlmiMcSQyh";HAM
